Epoch,Tr rmse,Tr mae,Tr relative_rmse,Tr relative_mae,Te rmse,Te mae,Te relative_rmse,Te relative_mae,Tr loss,Te loss,LR,Time(s)
1,1.2539832751381206,1.0426348205556206,0.9492978918998637,0.9244906354077997,1.2290270124527223,1.0137701646529418,0.9177720004862006,0.8996812701225281,1.579180860901899,1.5310162940127328,0.001,31.629050493240356
2,1.1509560671719639,0.9444109147245233,0.8712764312239254,0.8373861529610374,1.1888931033445551,0.9821689428492664,0.8877566676726316,0.8719983645938935,1.3257269476824265,1.4435927568272473,0.0009999934888175277,31.29707360267639
3,1.1342726920377761,0.932461923456447,0.8586928965573642,0.8268169936011819,1.1652202679511698,0.9643305995885063,0.8699908129034195,0.8562570214271545,1.287362434009817,1.3945149838286925,0.0009999739554486184,31.387645721435547
4,1.1239663349753395,0.9251666005282478,0.8508855461436797,0.8203733617609198,1.1553056606634415,0.956361278811878,0.8625950902541053,0.8492615600639486,1.2641730882267264,1.3737831005756869,0.000999941400428789,31.605342864990234
5,1.1132713479791734,0.9156558287334952,0.8427965918326761,0.8119238669222052,1.1372530705788557,0.9396628300773906,0.8488672170090803,0.8344132973548563,1.2402996755538778,1.3342519485376736,0.0009998958246505516,31.22952127456665
6,1.0145581205260945,0.8194644706134491,0.768027507685085,0.726646240382271,0.980126806121459,0.800094713342381,0.7295477659625803,0.7104568752375516,1.035026839391433,1.0286308308654928,0.0009998372293633896,31.401978969573975
7,0.9141079633631171,0.7295193968609692,0.6920206543596034,0.6469661634873579,0.9649055965125242,0.79184217376505,0.7181259404847966,0.7032474344745677,0.8375893659132687,1.0031500372657165,0.0009997656161737224,31.65522813796997
8,0.9065649056817121,0.7244761592564098,0.6863062850294266,0.6424702950977387,0.958420820574072,0.7879223071317621,0.7133245455389992,0.6998223117328582,0.8236391442344788,0.9914735897498972,0.0009996809870448614,32.20358204841614
9,0.8998616889198834,0.7192827944449562,0.6811779425105947,0.6378408004255856,0.964899436675291,0.7935067684573923,0.7183350592373526,0.704848325029414,0.8118338639085944,1.0001617599139239,0.0009995833442969573,31.66144371032715
10,0.8946648982756915,0.7149084882940201,0.6772877828960113,0.6339620539848817,0.9527256732637231,0.7855950472826626,0.7091701551873416,0.6978291461174501,0.8023696771280013,0.9801028345357925,0.0009994726906069353,31.66486120223999
11,0.8880616324470643,0.709388859131757,0.6723289986982702,0.6291029851704357,0.9492236477805969,0.7824857517040987,0.7066060593102705,0.6951317242122589,0.790560326792977,0.974594331998876,0.000999349029008422,32.112322092056274
12,0.8831378843057602,0.7064899432467905,0.6685993046684061,0.6265436312094091,0.9504382748973561,0.7840512742333233,0.7076035755522111,0.6965340723328411,0.7815654870660548,0.9764855423553742,0.0009992123628916629,31.659762859344482
13,0.8713439782673025,0.6974000286928472,0.6596603756919902,0.6184702558632202,0.956782787878883,0.7908168307600174,0.7123170079075717,0.7024389232862442,0.7606377324318503,0.9877616583822882,0.0009990626960034285,31.678091764450073
14,0.8624534954361737,0.6908457658507607,0.6528986207941637,0.6126154897047237,0.9777486781704234,0.8075663509534642,0.728294878879333,0.7172330195572287,0.745350206599516,1.0205150284869149,0.000998900032446912,31.347970485687256
15,0.8534882868674987,0.6826975269113632,0.6461377768593038,0.6054122345970276,0.971593858723972,0.8041980153417843,0.723670769184031,0.7144239514588034,0.7300410210130049,1.0205199252316022,0.000998724376681617,31.644620180130005
16,1.010835407889463,0.8289898270591695,0.7652309925798426,0.7349983068073497,0.9805630139488587,0.8115634326947564,0.7306448578197051,0.721093677741321,1.0666044956860057,1.0389413869476574,0.0009985357335232353,31.4150390625
17,0.836942523877251,0.6650164324969532,0.6336223333277167,0.5897225473016341,0.9829288848581161,0.8138503355775925,0.7325873083290569,0.7231399627292857,0.7019283806576448,1.0467133297320994,0.000998334108143514,31.629753828048706
18,0.8305208064655569,0.65746754025393,0.6287266650301887,0.5830077122558247,0.9930558571203507,0.8223896052110642,0.7404352018539918,0.7308136530738464,0.6912546189711055,1.0698117657619364,0.0009981195060701149,31.35316514968872
19,0.8214687685915493,0.6482044340454959,0.6218389014509272,0.5747936715416729,1.0048157383095135,0.8305302866321197,0.7493008155236269,0.7381119538437236,0.6768825760180938,1.097079938825439,0.0009978919331864622,31.131441116333008
20,0.877115994532478,0.6988119467057009,0.6640212532670741,0.6197572739366541,1.003403680528549,0.8270412398213371,0.7481608330247237,0.7349575829697165,0.7822253535138094,1.0962117080063742,0.0009976513957315818,31.301172018051147
21,0.806230637478956,0.6323363095681298,0.6102703796988502,0.5607537404101163,1.0058594832127108,0.8268435943254175,0.7500131754951681,0.7347828392039009,0.6524570397833452,1.1020046276523467,0.000997397900299929,31.268621683120728
22,0.8033378003115322,0.6285123914320838,0.6081402732089242,0.5573247773124572,1.001315517062172,0.824091656482156,0.7466070161146277,0.7323831227373949,0.6466837448869797,1.0951236488825498,0.0009971314538412095,31.231106281280518
23,0.8652690088047701,0.6871968848820038,0.6549126658847625,0.6093426391402668,1.3430685557146123,1.1316438046368686,1.0029872244692104,1.0028195409851277,0.7817767493546328,1.8067369104069184,0.0009968520636601873,31.491833686828613
24,0.9780750010102828,0.7910011005911598,0.7406189559615232,0.7015031619186707,1.0057254258324118,0.8268424384096728,0.7499184087317258,0.7347599634512223,0.9958747124926929,1.107742873583248,0.0009965597374164857,31.4382004737854
25,0.7913011981841714,0.6165252936715111,0.5989483043471759,0.5467065426117597,1.0054166103429336,0.8268798822387654,0.7496495857277018,0.7348505268122423,0.6281565955297195,1.1085467526619448,0.000996254483124376,31.428147077560425
26,0.7883086392586244,0.6137950001234677,0.5967014801693472,0.5442847324246392,0.9970269569738663,0.8210702693079882,0.7432625123205032,0.7295826954000136,0.6235436189939632,1.0880782957223647,0.0009959363091525588,31.661017179489136
27,0.7881219740857415,0.6135949511579014,0.5965994255428009,0.5441081201966433,0.9979932343258577,0.8210246452991975,0.7441107248239976,0.7296878757642552,0.6229628365945051,1.0930228952896148,0.0009956052242239344,31.48534393310547
28,0.9052804093309902,0.7233345323705418,0.6851298824988584,0.6412794964517502,1.006744888536433,0.8274399593552166,0.7505792431971606,0.7352461800537008,0.8658250496986716,1.1083114932883869,0.0009952612374153635,31.203733205795288
29,0.7834064157251368,0.6089888884421976,0.5929993049983673,0.540016574496254,0.9958856370359819,0.8201464895896096,0.7422610691843186,0.728845829632193,0.6157196866955986,1.092668618349468,0.0009949043581574182,31.494312524795532
30,0.7816857701954357,0.6074830411589719,0.5916700780710434,0.5386556539943511,0.997094187188276,0.8206637052291217,0.7432577335898252,0.7293132234384669,0.6128473780690668,1.0920778143214669,0.0009945345962341233,31.736884832382202
31,0.7839114818980987,0.6102224017847031,0.5933734988146288,0.5411028627724571,0.9870291667826036,0.8126977122722463,0.7356083498281591,0.7221439590747344,0.6166114623852592,1.072361015062281,0.000994151961782689,31.251450538635254
32,0.8410776012084064,0.6611016800696837,0.6366636000852534,0.5862253330608103,0.9832664015777608,0.8114977665444746,0.7326888371916378,0.7210782605377748,0.7286696523268592,1.0653911937366833,0.000993756465293232,31.133517026901245
33,0.7736501744724212,0.6006827494677376,0.5855931199808172,0.5326584615809394,0.9885994635801264,0.8132059068922053,0.7368352518362158,0.7226843929545764,0.6008406169911756,1.0767314896226567,0.0009933481176084883,31.65025568008423
34,0.9165418909832755,0.7306919882004274,0.69376896090686,0.6478748659399104,0.972532388679484,0.8006648657156185,0.72470200492099,0.7114059335407726,0.8913592587817799,1.0419946244374954,0.0009929269299235159,31.46264147758484
35,0.759962656918694,0.5869004313639778,0.5752672219977659,0.520430455233324,0.9565850234924154,0.7869251650922439,0.7127747978756135,0.6992637639377206,0.5792902392499587,1.0119551692337276,0.000992492913785388,31.11223316192627
36,0.7565142537820786,0.584237485964668,0.5726437669068096,0.5180616512655575,0.9642592478882183,0.79180358023567,0.7184749051211352,0.7034785744340663,0.574737692899245,1.0264800100881148,0.0009920460810928767,31.46203112602234
37,0.7702176915133063,0.596319719431872,0.583101253936635,0.5288126031982707,0.9430598511415369,0.7739198741747096,0.7026761765467292,0.6877206385454392,0.5979857503730346,0.9868394536050883,0.0009915864440961254,31.734625339508057
38,0.7462365694224515,0.5751353166001366,0.5648539146000051,0.510008547076567,0.9361614682138922,0.7676992617188928,0.6974584517631939,0.682058524798582,0.559230612561027,0.970740532651942,0.0009911140153963144,31.67000985145569
39,0.7348616920053003,0.5644926771441883,0.5562247676964112,0.5005561728528477,0.9271781638981824,0.7602567114932014,0.6909267495978962,0.6756252607400405,0.5423215208525326,0.9512910781139359,0.0009906288079453158,31.26950979232788
40,0.825962637197525,0.649823133798844,0.6252877113015894,0.5762152144296921,0.9221903943123027,0.7549674887070681,0.6871215874817282,0.670904570961381,0.7123707888279369,0.9417112782438171,0.0009901308350453366,31.635274410247803
41,0.7279972880281866,0.5579399385235526,0.5510691665710612,0.494755699672801,0.9251075785427807,0.7553395364373763,0.6894996011639661,0.6713445218489131,0.5318091996213331,0.9412586179009096,0.0009896201103485555,31.35506510734558
42,0.7282255444934661,0.5587925748391585,0.5511832501799028,0.4954797761006789,0.9067527202361407,0.7421352978058677,0.6755218662042669,0.6595664337516468,0.5326331084106057,0.9111727811595335,0.000989096647856748,31.383914947509766
43,0.826301780613986,0.65061224973138,0.6255448702822395,0.576811176889083,0.9036900354897912,0.7390468096669345,0.6733155355733984,0.6568328543780322,0.7215453187093378,0.9019849179262783,0.0009885604619209027,31.42724370956421
44,0.72024915339475,0.5513525117527355,0.5452011753531063,0.4889384315294378,0.8997518869644818,0.7359938769735754,0.670354127405799,0.6541626576115104,0.5208562196576022,0.8952348254182759,0.0009880115672408279,31.412766218185425
45,0.8468740576091297,0.6701695885569017,0.641051831411168,0.5942849792579916,0.8983633064012476,0.7338984179943003,0.6692269237283717,0.6522154282917951,0.7663147016005083,0.8923545711260429,0.0009874499788647486,31.463592052459717
46,0.7184056253994212,0.5495856160467322,0.5438008345065908,0.48735325078275754,0.8903625264843518,0.7280633443179615,0.6632335345375346,0.6470968693016684,0.5180536693430202,0.8772936223503103,0.000986875712188894,31.55664896965027
47,0.7185232591501531,0.5503922633946261,0.5438366160991995,0.488015946857432,0.8905698708034454,0.7277842457281715,0.6634959430299341,0.64692960320947,0.5185662847470472,0.8754298554703513,0.0009862887829570747,31.70677423477173
48,0.8550974669303486,0.6772319153349667,0.6473474416503294,0.600595575762305,1.3500536080987695,1.1379471070626204,1.0082674530100695,1.0083973560741242,0.779437790739345,1.825384148939408,0.0009856892072602522,31.73149824142456
49,0.777690915819158,0.6057654112418067,0.588580913403455,0.5370424885482075,0.8863241337837382,0.7247959600094168,0.6602134172291679,0.6443008740636754,0.6266142612791317,0.871187554084681,0.0009850770015360972,31.35398006439209
50,0.7145926738805312,0.5470255441206662,0.5408728082868505,0.48505518366308775,0.8924278076638512,0.7285657080418286,0.6648950261228225,0.6477301310409199,0.5131035000882684,0.8808539267529778,0.0009844521825685389,31.50679612159729
51,0.7142572042776302,0.5464913650629992,0.5406665531071749,0.484583785349035,0.877911777897952,0.7176152066113477,0.653811556929573,0.6378855452658658,0.5120589976960962,0.8571244784615895,0.0009838147674873048,31.640109539031982
52,0.7362742650317636,0.5682168202922944,0.5573587753874732,0.5038490993453857,0.9449314924484906,0.7751554081784212,0.7039608754576209,0.6882933747959646,0.5463492900611245,0.9498747623859243,0.0009831647737674513,31.524334192276
53,0.7252849346813671,0.5576402908340495,0.5489456236043716,0.49443488420649645,0.8768805931596195,0.7168761756330888,0.6530574190425363,0.63719425489877,0.5296219080527198,0.852776509794322,0.0009825022192288847,31.127653121948242
54,0.7116623262670588,0.5438861042101752,0.5386693745373404,0.482283766894417,0.8754185885987817,0.7148221654687973,0.6519225384781068,0.6354435973148295,0.5085745836324232,0.8527522621387467,0.0009818271220358725,31.091297388076782
55,0.8367419411791838,0.6575862437008536,0.6333675121559816,0.5830975807605581,1.0043838033701646,0.8218008853534964,0.7493456095297706,0.7301320796981853,0.748041638397278,1.0663368907523028,0.000981139500696545,31.220288515090942
56,0.7316511713247248,0.5637391786524318,0.5538373885945203,0.49993524768135766,0.8794028677723624,0.7172524643773064,0.6549518804817913,0.6376469658020346,0.5397730721509393,0.8579506184009307,0.0009804393740623888,31.62982964515686
57,0.7095084015060874,0.5421118924324525,0.5370565305419147,0.4806885389401951,0.8763853219103686,0.7161298376672408,0.6527630406267503,0.6366529899803712,0.5055910275581686,0.8495627529321508,0.000979726761327729,31.230180978775024
58,0.7136617921252939,0.5466319287524504,0.5401989831962687,0.4847085864786158,0.8865068444912446,0.7226294062354348,0.6602331511477099,0.6423817321578449,0.5115301911843652,0.8722880238039609,0.0009790016820292037,31.419150590896606
59,0.7138903587259711,0.5470468223413681,0.540367338587256,0.48506324734279815,0.8713331673553283,0.7118448820662371,0.6488963870759954,0.6328006420224745,0.511548980512721,0.840968690533689,0.0009782641560452283,31.379209995269775
60,0.7159345975534164,0.549298773315501,0.5419226115081399,0.48706093239274256,1.0574771012851898,0.854420635470732,0.7894114394557668,0.7595723596486178,0.5145538245292909,1.1762456170377884,0.0009775142035954503,31.866755962371826
61,0.7805029839117896,0.6078050501525083,0.5907424775993123,0.5389782168010977,0.8696624209536589,0.7096317899737129,0.6475072176379953,0.6307755370031704,0.6389333945225905,0.8410189816738195,0.0009767518452401948,31.165881395339966
62,0.7072624337864432,0.54058017800836,0.5353320092759668,0.47935390966461305,0.8689873201005599,0.7103932267204326,0.6470090369171,0.6313654725404985,0.5024551143620741,0.835605005529475,0.0009759771018799012,31.201173305511475
63,0.8966021040544153,0.7140251759858055,0.6786542402550498,0.6330600871759302,0.9077881893372153,0.7397557155971222,0.6764834094493785,0.6574293271424299,0.8593926359625423,0.8934361674090757,0.00097518999475455,31.266435384750366
64,0.716561767506727,0.5493505028161135,0.5423695365375376,0.4871127952866376,0.8748276077489802,0.7140113002157467,0.6514509575252228,0.6346692070763379,0.5156747587224378,0.8471891403516983,0.0009743905454430808,31.129908800125122
65,0.7075888594204092,0.5405715952582538,0.5356019467593515,0.4793233388566716,0.8742206915814609,0.713409165169466,0.6511179436655605,0.6342206061842607,0.5024449477858722,0.8448196981042464,0.0009735787758628003,31.855195999145508
66,0.7061515982775765,0.5391582752612822,0.5345319224232659,0.47811472654980136,0.8701316623445501,0.7104039488629224,0.6478944202476644,0.6314406394161642,0.500555008649826,0.8378922278708952,0.0009727547082687816,31.28002381324768
67,0.7050436594906975,0.537899264199211,0.5337034514881073,0.4769941506220058,0.8699717421263935,0.7087451232308373,0.6478415890173479,0.6300744736258359,0.4987297144165651,0.8405341665375041,0.000971918365253254,31.179632663726807
68,0.7039862989104367,0.5373513343181202,0.5329123980858747,0.47649575251946474,0.8655328495617218,0.706327653504948,0.6445541405741544,0.6278480317662744,0.4976139618432458,0.8277719781838636,0.0009710697697449837,31.244869232177734
69,0.7068118835515517,0.5406137003618128,0.5350066047301267,0.47937941917761123,0.8641869414617671,0.7047152807687056,0.6435063714012105,0.626449693811131,0.5016467706723646,0.8279975884977508,0.0009702089450086454,31.19290781021118
70,0.7374410935264221,0.5700115724043413,0.558211590198272,0.5054309921149902,0.8669097718389277,0.7066570893328458,0.6453981965302146,0.6281018255547406,0.5489918173634433,0.8361307015234136,0.000969335914644184,31.852001428604126
71,0.701596060219933,0.5356396925959358,0.5310547206809814,0.4749914699378498,0.8643971930213153,0.7044383416520082,0.6435209150939064,0.6261419763061452,0.49452200563833676,0.8312712666344515,0.0009684507025861677,31.243409395217896
72,0.7652122917022297,0.5926765244912336,0.5793142545031992,0.5256173311070325,0.8665416704460899,0.7060302483206764,0.6453407037066904,0.6277277723034436,0.603937018363871,0.8338335149269053,0.0009675533331031327,31.93437147140503
73,0.698467217983409,0.5324192206489848,0.5287003461371131,0.4721151603096947,0.8614421964966678,0.7027703120427973,0.641402574783978,0.6247088425459071,0.48998555971339425,0.8222844304247974,0.0009666438307969163,31.67507004737854
74,0.701740117634044,0.5363020012404192,0.5311682952597817,0.4755626177405291,0.9838630244693655,0.8093465863064648,0.7335884405329903,0.7183019568257153,0.49494859432791644,1.0037397527120968,0.000965722220601984,31.206557273864746
75,0.7845069348493362,0.6114704505326276,0.593755365374254,0.542138942900826,0.8563314773500922,0.6977707477495632,0.6375208559202,0.6202628987836328,0.6544342297602465,0.8154598689254593,0.0009647885277847446,31.409859895706177
76,0.6933684642302161,0.5282747074563235,0.5248195806289102,0.4684605941096729,0.8551445788240688,0.6976058336502728,0.6365284331660858,0.6199554045570088,0.4831168860356438,0.8099470946160867,0.0009638427779428582,31.225326538085938
77,0.6930807395414873,0.5281380896262307,0.5246303177134876,0.468327224892091,0.8558467014588137,0.6971010435073771,0.6372793149501882,0.6197573399161272,0.48210205703495657,0.8127022301927608,0.0009628849970045347,31.659299850463867
78,0.6980460684567211,0.5336447101544569,0.5283433410891875,0.4731550144957986,0.8531450248338321,0.6942249300645634,0.6352023641693401,0.6171872121765014,0.4893728792667389,0.8086893113857923,0.0009619152112278224,31.31380271911621
79,0.6888161432296834,0.5255313290950449,0.5213643640757882,0.46600948903649886,0.8517932660758176,0.6931650861699313,0.634120276108145,0.6161579048251086,0.47654591859343215,0.8051566887188722,0.000960933447199888,31.20804238319397
80,0.6849930790018908,0.522525744642166,0.5184715732852405,0.46333815707242426,0.845639024029441,0.6873698495926066,0.6294236838180114,0.610888397470515,0.4712916469191485,0.7948278213407904,0.0009599397318362884,31.362242937088013
81,0.8037981228394941,0.6285611287476545,0.6084444632823455,0.557427418423209,0.8596198582712979,0.6993080146491208,0.6398933931468005,0.6214861872999425,0.6875754182032723,0.8193834533187795,0.0009589340923802323,31.864030122756958
82,0.6657720157169403,0.5053635132822761,0.5039357711924589,0.44813203747897223,0.8694226043747071,0.7050537243883878,0.6470421643499384,0.6263790723474268,0.4450331543856126,0.8410206911238757,0.0009579165564018334,31.34279489517212
83,0.6561329960823059,0.4985022758417588,0.49664853441524,0.4420433731321345,0.8519580432756699,0.6921563577205739,0.6336216065972884,0.6146731704951608,0.43222511659331503,0.8130187945251159,0.0009568871517973545,31.17278480529785
84,0.6552777258470097,0.4996086782950131,0.495966875298138,0.4430202397114453,0.8553929312981386,0.6962294776171924,0.6360775923983936,0.6179683853916943,0.43172895318684096,0.809469386457122,0.0009558459067884428,32.006739139556885
85,0.634535734984964,0.4808523234199075,0.4802075578248437,0.4263530134517241,0.867216439967487,0.7053128264167092,0.645228832800758,0.6261653909708726,0.40481323290636195,0.8328008022219102,0.0009547928499213563,31.264296293258667
86,0.6659276816934188,0.5099125584179067,0.504030834385418,0.45210432671608136,0.8688936134710669,0.7063229804370492,0.6463136759033815,0.6269620970927458,0.4508629312171018,0.8376808652584565,0.0009537280100661808,31.97285556793213
87,0.6161911455705205,0.4652785289096322,0.4663473244975595,0.4125550226731734,0.8673805050990161,0.7052272335093289,0.6450447846542705,0.6259819552860159,0.3815066369778332,0.8355321947903557,0.0009526514164160389,31.207355976104736
88,0.604827991143905,0.4563659289303948,0.45776439557738485,0.4046439506153372,0.852141341901718,0.6903545544109243,0.6333288148762708,0.6125997998178961,0.3675021473417945,0.8055307218894602,0.0009515630984862893,31.834283351898193
89,0.605656600412838,0.4587968308976627,0.45840236305553006,0.40680866078896954,0.8307647007034424,0.6719822427805733,0.617823474706813,0.5965232896932307,0.36884064629753643,0.7593120832175495,0.0009504630861137181,31.623567819595337
90,0.5837833272582069,0.44060931916542867,0.44182342211192943,0.39068698373070376,0.8364119948869083,0.6750255080467877,0.6217954197031929,0.599146218063997,0.3422176679347288,0.7678808561142754,0.0009493514094557198,31.668436527252197
91,0.5826217026952754,0.44095709346194956,0.44097252293704026,0.3910265211115546,0.7886615604321587,0.63526651263237,0.5865076276707777,0.5640906122597781,0.34105680835119545,0.6772848797195098,0.0009482280989894717,31.632949590682983
92,0.7367840418841112,0.5696919416998797,0.5577549704893388,0.5051034714448899,0.813645752993497,0.6519668247291749,0.6049962214288864,0.5787565959966119,0.5801139231671624,0.7228060148775897,0.0009470931855110977,31.64821743965149
